id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,image,cry
225,delibird,ice,flying,45,55,45,65,45,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/225.ogg
226,mantine,water,flying,85,40,70,80,140,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/226.ogg
227,skarmory,steel,flying,65,80,140,40,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/227.ogg
228,houndour,dark,fire,45,60,30,80,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/228.ogg
229,houndoom,dark,fire,75,90,50,110,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/229.ogg
230,kingdra,water,dragon,75,95,95,95,95,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/230.ogg
231,phanpy,ground,,90,60,60,40,40,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/231.ogg
232,donphan,ground,,90,120,120,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/232.ogg
233,porygon2,normal,,85,80,90,105,95,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/233.ogg
234,stantler,normal,,73,95,62,85,65,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/234.ogg
235,smeargle,normal,,55,20,35,20,45,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/235.ogg
236,tyrogue,fighting,,35,35,35,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/236.ogg
237,hitmontop,fighting,,50,95,95,35,110,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/237.ogg
238,smoochum,ice,psychic,45,30,15,85,65,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/238.ogg
239,elekid,electric,,45,63,37,65,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/239.ogg
240,magby,fire,,45,75,37,70,55,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/240.ogg
241,miltank,normal,,95,80,105,40,70,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/241.ogg
242,blissey,normal,,255,10,10,75,135,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/242.ogg
243,raikou,electric,,90,85,75,115,100,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/243.ogg
244,entei,fire,,115,115,85,90,75,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/244.ogg
245,suicune,water,,100,75,115,90,115,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/245.ogg
246,larvitar,rock,ground,50,64,50,45,50,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/246.ogg
247,pupitar,rock,ground,70,84,70,65,70,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/247.ogg
248,tyranitar,rock,dark,100,134,110,95,100,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/248.ogg
249,lugia,psychic,flying,106,90,130,90,154,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/249.ogg
250,ho-oh,fire,flying,106,130,90,110,154,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/250.ogg
251,celebi,psychic,grass,100,100,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/251.ogg
252,treecko,grass,,40,45,35,65,55,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/252.ogg
253,grovyle,grass,,50,65,45,85,65,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/253.ogg
254,sceptile,grass,,70,85,65,105,85,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/254.ogg
255,torchic,fire,,45,60,40,70,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/255.ogg
256,combusken,fire,fighting,60,85,60,85,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/256.ogg
257,blaziken,fire,fighting,80,120,70,110,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/257.ogg
258,mudkip,water,,50,70,50,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/258.ogg
259,marshtomp,water,ground,70,85,70,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/259.ogg
260,swampert,water,ground,100,110,90,85,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/260.ogg
261,poochyena,dark,,35,55,35,30,30,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/261.ogg
262,mightyena,dark,,70,90,70,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/262.ogg
263,zigzagoon,normal,,38,30,41,30,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/263.ogg
264,linoone,normal,,78,70,61,50,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/264.ogg
265,wurmple,bug,,45,45,35,20,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/265.ogg
266,silcoon,bug,,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/266.ogg
267,beautifly,bug,flying,60,70,50,100,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/267.ogg
268,cascoon,bug,,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/268.ogg
269,dustox,bug,poison,60,50,70,50,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/269.ogg
270,lotad,water,grass,40,30,30,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/270.ogg
271,lombre,water,grass,60,50,50,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/271.ogg
272,ludicolo,water,grass,80,70,70,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/272.ogg
273,seedot,grass,,40,40,50,30,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/273.ogg
274,nuzleaf,grass,dark,70,70,40,60,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/274.ogg
275,shiftry,grass,dark,90,100,60,90,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/275.ogg
276,taillow,normal,flying,40,55,30,30,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/276.ogg
277,swellow,normal,flying,60,85,60,75,50,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/277.ogg
278,wingull,water,flying,40,30,30,55,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/278.ogg
279,pelipper,water,flying,60,50,100,95,70,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/279.ogg
280,ralts,psychic,fairy,28,25,25,45,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/280.ogg
281,kirlia,psychic,fairy,38,35,35,65,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/281.ogg
282,gardevoir,psychic,fairy,68,65,65,125,115,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/282.ogg
283,surskit,bug,water,40,30,32,50,52,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/283.ogg
284,masquerain,bug,flying,70,60,62,100,82,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/284.ogg
285,shroomish,grass,,60,40,60,40,60,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/285.ogg
286,breloom,grass,fighting,60,130,80,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/286.ogg
287,slakoth,normal,,60,60,60,35,35,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/287.ogg
288,vigoroth,normal,,80,80,80,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/288.ogg
289,slaking,normal,,150,160,100,95,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/289.ogg
290,nincada,bug,ground,31,45,90,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/290.ogg
291,ninjask,bug,flying,61,90,45,50,50,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/291.ogg
292,shedinja,bug,ghost,1,90,45,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/292.ogg
293,whismur,normal,,64,51,23,51,23,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/293.ogg
294,loudred,normal,,84,71,43,71,43,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/294.ogg
295,exploud,normal,,104,91,63,91,73,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/295.ogg
296,makuhita,fighting,,72,60,30,20,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/296.ogg
297,hariyama,fighting,,144,120,60,40,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/297.ogg
298,azurill,normal,fairy,50,20,40,20,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/298.ogg
299,nosepass,rock,,30,45,135,45,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/299.ogg
300,skitty,normal,,50,45,45,35,35,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/300.ogg
301,delcatty,normal,,70,65,65,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/301.ogg
302,sableye,dark,ghost,50,75,75,65,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/302.ogg
303,mawile,steel,fairy,50,85,85,55,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/303.ogg
304,aron,steel,rock,50,70,100,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/304.ogg
305,lairon,steel,rock,60,90,140,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/305.ogg
306,aggron,steel,rock,70,110,180,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/306.ogg
307,meditite,fighting,psychic,30,40,55,40,55,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/307.ogg
308,medicham,fighting,psychic,60,60,75,60,75,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/308.ogg
309,electrike,electric,,40,45,40,65,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/309.ogg
310,manectric,electric,,70,75,60,105,60,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/310.ogg
311,plusle,electric,,60,50,40,85,75,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/311.ogg
312,minun,electric,,60,40,50,75,85,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/312.ogg
313,volbeat,bug,,65,73,75,47,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/313.ogg
314,illumise,bug,,65,47,75,73,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/314.ogg
315,roselia,grass,poison,50,60,45,100,80,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/315.ogg
316,gulpin,poison,,70,43,53,43,53,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/316.ogg
317,swalot,poison,,100,73,83,73,83,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/317.ogg
318,carvanha,water,dark,45,90,20,65,20,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/318.ogg
319,sharpedo,water,dark,70,120,40,95,40,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/319.ogg
320,wailmer,water,,130,70,35,70,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/320.ogg
321,wailord,water,,170,90,45,90,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/321.ogg
322,numel,fire,ground,60,60,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/322.ogg
323,camerupt,fire,ground,70,100,70,105,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/323.ogg
324,torkoal,fire,,70,85,140,85,70,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/324.ogg
325,spoink,psychic,,60,25,35,70,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/325.ogg
326,grumpig,psychic,,80,45,65,90,110,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/326.ogg
327,spinda,normal,,60,60,60,60,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/327.ogg
328,trapinch,ground,,45,100,45,45,45,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/328.ogg
329,vibrava,ground,dragon,50,70,50,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/329.ogg
330,flygon,ground,dragon,80,100,80,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/330.ogg
331,cacnea,grass,,50,85,40,85,40,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/331.ogg
332,cacturne,grass,dark,70,115,60,115,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/332.ogg
333,swablu,normal,flying,45,40,60,40,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/333.ogg
334,altaria,dragon,flying,75,70,90,70,105,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/334.ogg
335,zangoose,normal,,73,115,60,60,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/335.ogg
336,seviper,poison,,73,100,60,100,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/336.ogg
337,lunatone,rock,psychic,90,55,65,95,85,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/337.ogg
338,solrock,rock,psychic,90,95,85,55,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/338.ogg
339,barboach,water,ground,50,48,43,46,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/339.ogg
340,whiscash,water,ground,110,78,73,76,71,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/340.ogg
341,corphish,water,,43,80,65,50,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/341.ogg
342,crawdaunt,water,dark,63,120,85,90,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/342.ogg
343,baltoy,ground,psychic,40,40,55,40,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/343.ogg
344,claydol,ground,psychic,60,70,105,70,120,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/344.ogg
345,lileep,rock,grass,66,41,77,61,87,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/345.ogg
346,cradily,rock,grass,86,81,97,81,107,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/346.ogg
347,anorith,rock,bug,45,95,50,40,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/347.ogg
348,armaldo,rock,bug,75,125,100,70,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/348.ogg
349,feebas,water,,20,15,20,10,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/349.ogg
350,milotic,water,,95,60,79,100,125,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/350.ogg
351,castform,normal,,70,70,70,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/351.ogg
352,kecleon,normal,,60,90,70,60,120,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/352.ogg
353,shuppet,ghost,,44,75,35,63,33,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/353.ogg
354,banette,ghost,,64,115,65,83,63,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/354.ogg
